,date,id,intensidadeVentoKM,temperatura,radiacao,idDireccVento,precAcumulada,intensidadeVento,humidade,pressao,local,lon,lat
175,2023-03-08T20:00,6212124,10.1,13.7,3.6,6.0,0.0,2.8,100.0,1011.9,Braga (CIM),-8.42514722,41.53568333
176,2023-03-09T02:00,6212124,9.4,13.3,3.6,6.0,0.0,2.6,96.0,1011.6,Braga (CIM),-8.42514722,41.53568333
177,2023-03-09T18:00,6212124,18.4,13.6,245.4,7.0,0.0,5.1,92.0,1017.0,Braga (CIM),-8.42514722,41.53568333
178,2023-03-09T08:00,6212124,21.6,12.9,46.2,5.0,0.0,6.0,93.0,1011.6,Braga (CIM),-8.42514722,41.53568333
179,2023-03-09T15:00,6212124,27.7,15.1,1203.6,7.0,0.0,7.7,84.0,1015.7,Braga (CIM),-8.42514722,41.53568333
180,2023-03-09T10:00,6212124,14.8,10.8,39.0,7.0,21.0,4.1,96.0,1012.3,Braga (CIM),-8.42514722,41.53568333
181,2023-03-09T12:00,6212124,12.2,11.5,793.8,6.0,0.9,3.4,100.0,1014.2,Braga (CIM),-8.42514722,41.53568333
182,2023-03-09T14:00,6212124,31.7,14.6,1121.4,7.0,0.0,8.8,92.0,1015.2,Braga (CIM),-8.42514722,41.53568333
183,2023-03-08T22:00,6212124,9.7,13.7,3.6,6.0,0.0,2.7,99.0,1012.3,Braga (CIM),-8.42514722,41.53568333
184,2023-03-09T16:00,6212124,27.0,15.0,953.4,7.0,0.0,7.5,82.0,1016.2,Braga (CIM),-8.42514722,41.53568333
185,2023-03-09T09:00,6212124,30.2,12.9,150.0,6.0,2.0,8.4,94.0,1011.2,Braga (CIM),-8.42514722,41.53568333
186,2023-03-09T13:00,6212124,26.6,13.5,722.4,7.0,2.1,7.4,99.0,1014.8,Braga (CIM),-8.42514722,41.53568333
187,2023-03-09T17:00,6212124,28.4,14.3,383.4,7.0,0.9,7.9,86.0,1016.8,Braga (CIM),-8.42514722,41.53568333
188,2023-03-08T21:00,6212124,8.3,13.8,3.6,6.0,0.1,2.3,100.0,1012.1,Braga (CIM),-8.42514722,41.53568333
189,2023-03-09T11:00,6212124,4.7,10.0,147.6,6.0,11.4,1.3,99.0,1013.5,Braga (CIM),-8.42514722,41.53568333
190,2023-03-09T06:00,6212124,13.7,12.5,3.6,5.0,0.0,3.8,96.0,1011.2,Braga (CIM),-8.42514722,41.53568333
191,2023-03-09T03:00,6212124,9.4,13.2,3.6,6.0,0.0,2.6,96.0,1011.5,Braga (CIM),-8.42514722,41.53568333
201,2023-03-09T18:00,6212125,15.5,15.7,231.6,6.0,0.0,4.3,86.0,1017.2,Barcelos (CIM),-8.62705278,41.529375
203,2023-03-09T15:00,6212125,19.8,16.7,1325.4,6.0,0.0,5.5,84.0,1016.0,Barcelos (CIM),-8.62705278,41.529375
205,2023-03-09T12:00,6212125,15.5,-99.0,-99.0,6.0,-99.0,4.3,-99.0,-99.0,Barcelos (CIM),-8.62705278,41.529375
206,2023-03-09T14:00,6212125,22.7,16.7,1447.2,6.0,0.0,6.3,84.0,1008.2,Barcelos (CIM),-8.62705278,41.529375
208,2023-03-09T16:00,6212125,20.2,16.5,988.2,6.0,0.0,5.6,83.0,1016.4,Barcelos (CIM),-8.62705278,41.529375
210,2023-03-09T13:00,6212125,21.2,16.1,1384.2,6.0,0.0,5.9,87.0,1014.9,Barcelos (CIM),-8.62705278,41.529375
211,2023-03-09T17:00,6212125,22.0,16.2,508.8,6.0,0.5,6.1,85.0,1017.0,Barcelos (CIM),-8.62705278,41.529375
216,2023-03-09T01:00,6212126,14.8,14.4,3.6,5.0,0.0,4.1,96.0,1010.7,Esposende (CIM),-8.77984444,41.52645556
217,2023-03-09T07:00,6212126,27.0,14.4,3.6,5.0,0.2,7.5,90.0,1010.5,Esposende (CIM),-8.77984444,41.52645556
218,2023-03-08T23:00,6212126,16.2,14.6,3.6,5.0,0.0,4.5,96.0,1011.2,Esposende (CIM),-8.77984444,41.52645556
219,2023-03-08T19:00,6212126,18.7,14.9,21.6,5.0,0.0,5.2,97.0,1010.5,Esposende (CIM),-8.77984444,41.52645556
220,2023-03-09T05:00,6212126,20.2,14.1,3.6,5.0,0.0,5.6,94.0,1010.3,Esposende (CIM),-8.77984444,41.52645556
221,2023-03-09T00:00,6212126,14.4,14.6,3.6,5.0,0.0,4.0,96.0,1011.0,Esposende (CIM),-8.77984444,41.52645556
222,2023-03-09T04:00,6212126,15.5,14.1,3.6,5.0,0.0,4.3,95.0,1010.5,Esposende (CIM),-8.77984444,41.52645556
223,2023-03-08T20:00,6212126,18.4,14.9,3.6,5.0,0.0,5.1,96.0,1010.9,Esposende (CIM),-8.77984444,41.52645556
224,2023-03-09T02:00,6212126,12.6,14.3,3.6,5.0,0.0,3.5,95.0,1010.9,Esposende (CIM),-8.77984444,41.52645556
225,2023-03-09T18:00,6212126,19.4,15.0,352.2,6.0,0.0,5.4,90.0,1016.5,Esposende (CIM),-8.77984444,41.52645556
226,2023-03-09T08:00,6212126,27.7,14.5,24.6,5.0,0.2,7.7,90.0,1010.7,Esposende (CIM),-8.77984444,41.52645556
227,2023-03-09T15:00,6212126,19.4,15.7,2175.6,6.0,0.0,5.4,89.0,1015.4,Esposende (CIM),-8.77984444,41.52645556
228,2023-03-09T10:00,6212126,21.2,11.7,38.4,7.0,19.9,5.9,93.0,1012.1,Esposende (CIM),-8.77984444,41.52645556
229,2023-03-09T12:00,6212126,23.0,13.6,1674.0,6.0,0.0,6.4,95.0,1013.6,Esposende (CIM),-8.77984444,41.52645556
230,2023-03-09T14:00,6212126,20.9,15.5,1960.2,6.0,0.0,5.8,90.0,1014.8,Esposende (CIM),-8.77984444,41.52645556
231,2023-03-08T22:00,6212126,16.2,14.9,3.6,5.0,0.0,4.5,96.0,1011.3,Esposende (CIM),-8.77984444,41.52645556
232,2023-03-09T16:00,6212126,19.4,15.4,1381.8,6.0,0.0,5.4,89.0,1015.8,Esposende (CIM),-8.77984444,41.52645556
